"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"MONK",2014,27389,504,3845,154,2731,18531,121,0,0,0,0,0,0,0,0,47.430033,-88.236033,114.312753963568,36994.49,83,6
"RadarF14A_Robin-Apostles1",2014,3283,206,0,216,1735,806,9,0,0,0,0,0,0,0,0,46.91471,-90.87042,3287.23447675848,0.46,40,5
"RadarF14A_Robin-Apostles2",2014,3262,236,0,185,717,1668,5,0,0,0,0,0,0,0,0,46.91648,-90.8728,3383.09534654734,0.46,39,5
"RadarF14_Batman-Manitou1",2014,3192,101,95,224,2266,344,4,0,0,0,0,0,0,0,0,47.43659,-91.08742,1124.74700463967,36994.49,75,6
"RadarF14_Batman-Manitou2",2014,4052,133,211,200,2189,1046,13,0,0,0,0,0,0,0,0,47.43411,-91.08778,951.523234414178,81837.1,95,6
"RadarF14B_Robin-EagleHarbor1",2014,144,0,21,3,8,94,1,4,0,0,0,0,0,0,0,47.44454,-88.15186,685.620652128292,1.03,45,7
"RadarF14B_Robin-EagleHarbor2",2014,883,4,129,2,20,629,7,29,0,0,0,0,0,0,0,47.44245,-88.15743,981.840511734357,1.03,30,7
"RadarS15_Robin-Silica1",2015,268,18,0,18,37,108,0,0,0,0,0,0,0,0,0,46.03212,-85.08305,465.661571823239,56693.27,65,5
"RadarS15_Robin-Silica2",2015,2327,72,0,919,300,923,5,0,0,0,0,0,0,0,0,46.03357,-85.08508,574.0631333077,52823.5,65,5
"RadarS15_Batman-Pict1",2015,554,22,0,140,341,13,1,0,0,0,0,0,0,0,0,46.66738,-86.00206,567.824165946157,81837.1,64,5
"RadarS15_Batman-Pict2",2015,244,11,0,46,164,8,0,0,0,0,0,0,0,0,0,46.668899,-86.002353,397.515609178168,81837.1,45,5
"SENEY-01",2015,2315,110,0,124,122,1699,57,0,0,0,0,0,0,0,0,46.288766,-85.944344,16.0652716805834,0.1,139,5
"RadarF15:S16_Robin-Calcite1",2015,1858,107,0,81,323,579,1,0,0,0,0,0,0,0,0,45.39592,-83.72018,722.767286547737,2.05,76,5
"RadarF15:S16_Robin-Calcite1",2016,212,2,0,25,144,9,0,0,0,0,0,0,0,0,0,45.39592,-83.72018,722.767286547737,2.05,35,5
"RadarF15:S16_Batman-Medor1",2015,331,65,0,17,36,47,0,0,0,0,0,0,0,0,0,44.67661,-83.29572,1028.6174484943,20110.53,64,5
"RadarF15:S16_Batman-Medor1",2016,340,63,0,118,120,4,3,0,0,0,0,0,0,0,0,44.67661,-83.29572,1028.6174484943,20110.53,19,5
"RadarF15:S16_Batman-Medor2",2015,1671,124,0,200,340,242,4,0,0,0,0,0,0,0,0,44.67691,-83.29455,937.578752253791,20110.53,78,5
"RadarF15:S16_Batman-Medor2",2016,1076,139,0,442,381,16,2,0,0,0,0,0,0,0,0,44.67691,-83.29455,937.578752253791,20110.53,49,5
"RadarF15:S16_Robin-Calcite2",2015,446,10,0,17,42,127,2,0,0,0,0,0,0,0,0,45.39697,-83.72161,801.688557735165,2.05,46,5
"RadarF15:S16_Robin-Calcite2",2016,73,7,0,4,25,2,0,0,0,0,0,0,0,0,0,45.39697,-83.72161,801.688557735165,2.05,47,5
"RadarF16A_Robin-Lakebreeze1",2016,5226,1206,1132,299,1390,298,8,684,6,0,0,0,0,0,0,43.266916,-77.075877,1620.84889753338,6621.79,18,8
"RadarF16A_Robin-Lakebreeze2",2016,4461,283,1092,1266,1174,136,1,193,3,0,0,0,0,0,0,43.267351,-77.07534,1566.78484684301,6621.79,24,8
"RadarF16_Batman-Haller1",2016,2194,60,45,457,293,25,0,14,0,0,0,0,0,0,0,44.17458,-75.98289,1652.17197636572,0.07,74,8
"RadarF16_Batman-Haller2",2016,316,52,32,45,100,42,1,10,4,0,0,0,0,0,0,44.17439,-75.97982,1495.63918946938,0.07,29,8
"RadarF16B_Robin-Russell2",2016,5487,145,671,783,2745,437,6,487,34,0,0,0,0,0,0,43.341993,-78.658811,940.473604662919,18934.7,30,8
"RadarF16B_Robin-Russell1",2016,393,30,62,73,157,16,0,22,1,0,0,0,0,0,0,43.341867,-78.659748,927.090090952961,18934.7,15,8
"RadarS17_Robin-Montrose1",2017,2285,3,84,72,41,61,0,0,0,0,7,0,0,0,0,41.96325,-87.64014,74.0772578492557,56693.27,56,9
"RadarS17_Batman-IDunes1",2017,57055,99,447,10564,2931,65,3,48,0,0,123,0,0,0,0,41.65909,-87.06528,307.201232960781,52823.5,67,9
"RadarS17_Batman-IDunes2",2017,1599,113,169,37,924,19,0,8,0,0,135,0,0,0,0,41.65987,-87.06594,206.193204369862,52823.5,63,9
"RadarS17_Batman-IDunes3",2017,1469,47,387,56,522,62,4,25,0,0,150,0,0,0,0,41.65915,-87.06467,320.183544246726,52823.5,65,9
"RadarS17_Robin-Montrose2",2017,3667,222,751,215,1330,315,7,56,0,0,554,0,0,0,0,41.96275,-87.63311,2.67412495621737,52823.5,45,9
"RadarS17_Robin-Montrose3",2017,10888,51,238,6043,1158,29,0,15,0,0,75,0,0,0,0,41.96325,-87.63151,0,56693.27,49,9
"RadarF17_Robin-Cleveland1",2017,9292,158,2890,1567,1553,75,0,178,4,0,717,0,0,0,0,41.53164,-81.65219,48.2496015942769,12024.83,94,10
"RadarF17_Robin-Cleveland2",2017,63881,839,33468,4692,2896,226,2,1231,8,0,14113,0,0,0,0,41.53228,-81.65212,13.3173255368454,25718.8,89,10
"RadarF17_Batman-PennShore2",2017,6879,2883,651,106,952,970,93,414,71,0,373,0,0,0,0,42.22001,-79.86816,1156.83866242336,25718.8,97,10
"RadarF17_Batman-PennShore3",2017,7760,243,676,1739,4010,109,1,192,4,0,405,0,0,0,0,42.22866,-79.86479,290.56807425818,25718.8,91,10
"RadarF17_Robin-Cleveland3",2017,2520,272,433,197,689,145,2,159,12,0,366,0,0,0,0,41.5421,-81.62927,249.590111259115,25718.8,116,10
"RadarF17_Batman-PennShore1",2017,1536,46,69,256,431,63,1,81,18,0,66,0,0,0,0,42.22121,-79.86843,1020.91505935179,25718.8,83,10
"RadarS18A_Robin-Trappist1",2018,62,1,5,16,12,2,0,0,0,0,0,0,0,0,0,46.89716,-91.91317,914.949149717066,36994.49,33,6
"RadarS18A_Robin-Trappist2",2018,29,1,0,15,4,4,1,0,0,0,0,0,0,0,0,46.89637,-91.91301,844.482693712214,81837.1,23,6
"RadarS18_Batman-BadRiver1",2018,2623,15,129,440,530,346,1,16,0,0,0,0,0,0,0,46.6025,-90.65605,235.442677754253,10.22,63,7
"RadarS18_Batman-BadRiver2",2018,1808,3,121,509,638,373,1,23,0,0,0,0,0,0,0,46.60313,-90.6558,201.908654554468,10.22,59,7
"RadarS18B_Robin-Outfitter1",2018,606,55,0,123,280,76,0,0,0,0,0,0,0,0,0,47.746712,-90.386162,606.531865835802,36994.49,43,5
"RadarS18B_Robin-Outfitter2",2018,287,11,0,92,125,43,1,0,0,0,0,0,0,0,0,47.74589,-90.384331,491.758722946697,36994.49,34,5
"RadarF18_Batman-SANGB2",2018,5969,696,102,1731,2642,62,8,80,0,0,0,0,0,0,0,42.607831,-82.807199,163.743467816207,1105.56,75,9
"RadarF18_Robin-DetS1",2018,2213,470,130,72,945,168,1,86,0,0,0,0,0,0,0,42.02702,-83.2341,486.619526041678,0.23,52,9
"RadarF18_Robin-DetS2",2018,738,129,58,45,262,93,1,54,0,0,0,0,0,0,0,41.97977,-83.24789,20.8995356432343,12024.83,39,9
"MinnValley_F1",2018,20,4,2,0,2,6,0,1,0,0,0,0,0,0,0,44.787556,-93.373487,63.9989861289027,14.85,9,7
"RadarF18_Batman-SANGB1",2018,3347,163,63,651,1878,40,2,51,0,0,0,0,0,0,0,42.61721,-82.81857,0,1105.56,81,9
"MinnValley_F2",2018,14,6,0,0,1,3,0,1,0,0,0,0,0,0,0,44.817424,-93.245755,62.1126107050257,14.85,6,7
"MinnValley_M1",2018,29,0,3,1,1,13,2,6,0,0,0,0,0,0,0,44.812687,-93.251647,24.9839082707691,14.85,8,7
"MinnValley_F3",2018,84,65,0,0,10,5,0,0,0,0,0,0,0,0,0,44.819346,-93.242331,58.2044479516202,14.85,4,7
"MinnValley_M2",2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.827341,-93.232432,45.6135047390136,14.85,3,7
"MinnValley_F4",2018,241,15,18,0,11,178,1,7,0,0,0,0,0,0,0,44.843521,-93.20959,84.0429624143167,14.85,5,7
"MinnValley_M3",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.831719,-93.221201,63.1981796883872,14.85,4,7
"RadarF18_Robin-DetS3",2018,9,1,1,1,4,1,0,0,0,0,0,0,0,0,0,42.112222,-83.190278,36.4718548351731,36.07,51,9
